		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 1.156250	M = 600	N = 8	m = 9	n = 4800
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
111010110    4    1    2    0    0    0    0    1 12.529347 0.129102 SUCCESS 128
111011000    1    1    1    0    2    0    3    1  6.075044 0.638826 SUCCESS 129
111011010    2    1    1    1    0    1    1    0  3.096135 0.928180 SUCCESS 130
111011100    2    0    1    0    1    0    1    0  5.413064 0.712652 SUCCESS 131
111100000    1    1    2    3    1    1    1    1  3.758114 0.878261 SUCCESS 132
111100010    2    2    1    3    1    2    3    1  7.950653 0.438305 SUCCESS 133
111100100    2    0    0    0    0    3    2    0 10.157253 0.254162 SUCCESS 134
111100110    0    1    0    0    2    1    0    1  5.413064 0.712652 SUCCESS 135
111101000    0    1    3    3    1    2    2    2  9.109118 0.333175 SUCCESS 136
111101010    1    1    0    0    0    1    1    1  3.647785 0.887422 SUCCESS 137
111101100    1    3    0    0    1    0    3    2 10.212418 0.250432 SUCCESS 138
111101110    2    2    1    0    0    0    2    0  6.626694 0.577392 SUCCESS 139
111110000    2    2    1    0    1    0    0    1  4.861414 0.772281 SUCCESS 140
111110010    1    0    0    0    0    2    3    1  8.391973 0.396147 SUCCESS 141
111110100    0    1    3    2    1    1    2    2  6.130209 0.632649 SUCCESS 142
111110110    0    0    2    1    1    1    3    2  6.681859 0.571314 SUCCESS 143
111111000    2    2    0    2    1    0    1    0  5.468229 0.706557 SUCCESS 144
111111010    0    1    0    1    2    2    1    2  4.309764 0.828150 SUCCESS 145
111111100    1    2    0    2    0    0    0    0  7.178343 0.517519 SUCCESS 146
111111110    1    3    0    1    3    1    0    2  9.053953 0.337765 SUCCESS 147

		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 1.156250	M = 600	N = 8	m = 9	n = 4800
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001    4    2    0    0    1    1    1    2 10.819232 0.212154 SUCCESS   0
000000011    3    1    1    1    0    2    0    1  6.075044 0.638826 SUCCESS   1
000000101    3    2    0    0    2    1    0    1  7.840323 0.449221 SUCCESS   2
000000111    1    0    3    1    0    1    0    2  7.233508 0.511661 SUCCESS   3
000001001    3    1    0    3    1    1    0    1  8.447138 0.391054 SUCCESS   4
000001011    3    1    0    1    2    1    0    1  6.075044 0.638826 SUCCESS   5
000001101    1    1    1    0    2    0    1    0  4.254599 0.833453 SUCCESS   6
000001111    1    0    2    2    2    1    1    1  3.151300 0.924507 SUCCESS   7
